subcorpus	case_type	doc_id	sent_id	source_start_line	source_end_line	token_count	speaker_count	top_speaker_share	has_strict_majority	speaker_token_counts	speaker_details	utterance_token_counts	unresolved_utterance_token_counts	utterance_doc_ids	crosses_utterance_doc	speaker_segments	tei_utterance_times	recommendation	text
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6531	218440	218452	11	2	0.636	yes	Artur-J-G3122:7; Artur-J-G3123:4	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u85:7; Artur-J-Gvecg-P500060.u86:4		Artur-J-Gvecg-P500060	no	1-7:Artur-J-G3122(Artur-J-Gvecg-P500060.u85); 8-11:Artur-J-G3123(Artur-J-Gvecg-P500060.u86)	Artur-J-Gvecg-P500060.u85:Artur-J-G3122:1106.818-1124.928; Artur-J-Gvecg-P500060.u86:Artur-J-G3123:1124.928-1128.640:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	in potem bi on šəl v bistvu Bi se zmanjšal .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6541	218622	218637	14	2	0.643	yes	Artur-J-G3123:9; Artur-J-G3122:5	Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-); Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P500060.u89:9; Artur-J-Gvecg-P500060.u90:5		Artur-J-Gvecg-P500060	no	1-9:Artur-J-G3123(Artur-J-Gvecg-P500060.u89); 10-14:Artur-J-G3122(Artur-J-Gvecg-P500060.u90)	Artur-J-Gvecg-P500060.u89:Artur-J-G3123:1157.606-1167.910; Artur-J-Gvecg-P500060.u90:Artur-J-G3122:1167.910-1169.315:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	A bi kej povedala o financiranju pa okol producentov pač na tej točki ?
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6547	218749	218766	16	2	0.688	yes	Artur-J-G3122:11; Artur-J-G3123:5	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u93:11; Artur-J-Gvecg-P500060.u94:5		Artur-J-Gvecg-P500060	no	1-11:Artur-J-G3122(Artur-J-Gvecg-P500060.u93); 12-16:Artur-J-G3123(Artur-J-Gvecg-P500060.u94)	Artur-J-Gvecg-P500060.u93:Artur-J-G3122:1178.976-1204.436; Artur-J-Gvecg-P500060.u94:Artur-J-G3123:1204.436-1206.408:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	to je blo našga resničnəga denarja , s kerga smo mi Kaj pa tuji pol ?
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6548	218767	218772	4	2	0.500	no	Artur-J-G3123:2; Artur-J-G3122:2	Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-); Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P500060.u94:2; Artur-J-Gvecg-P500060.u95:2		Artur-J-Gvecg-P500060	no	1-2:Artur-J-G3123(Artur-J-Gvecg-P500060.u94); 3-4:Artur-J-G3122(Artur-J-Gvecg-P500060.u95)	Artur-J-Gvecg-P500060.u94:Artur-J-G3123:1204.436-1206.408:trans=smooth; Artur-J-Gvecg-P500060.u95:Artur-J-G3122:1204.436-1206.408:trans=overlap	omit sentence-level speaker_id; use suggested_speaker_segments	kolko so financirali .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6552	218829	218842	12	2	0.667	yes	Artur-J-G3123:8; Artur-J-G3122:4	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u100:8; Artur-J-Gvecg-P500060.u99:4		Artur-J-Gvecg-P500060	no	1-4:Artur-J-G3122(Artur-J-Gvecg-P500060.u99); 5-12:Artur-J-G3123(Artur-J-Gvecg-P500060.u100)	Artur-J-Gvecg-P500060.u99:Artur-J-G3122:1223.393-1224.523; Artur-J-Gvecg-P500060.u100:Artur-J-G3123:1224.523-1227.485:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	tko , mal ta Ja , ja , ja , ja .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6556	218895	218910	14	2	0.714	yes	Artur-J-G3122:10; Artur-J-G3123:4	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u102:10; Artur-J-Gvecg-P500060.u103:4		Artur-J-Gvecg-P500060	no	1-10:Artur-J-G3122(Artur-J-Gvecg-P500060.u102); 11-14:Artur-J-G3123(Artur-J-Gvecg-P500060.u103)	Artur-J-Gvecg-P500060.u102:Artur-J-G3122:1227.485-1236.812; Artur-J-Gvecg-P500060.u103:Artur-J-G3123:1236.812-1237.343	omit sentence-level speaker_id; use suggested_speaker_segments	pač səvəda se teb to nekje tud , e , Pozna , ja .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6558	218929	218962	32	2	0.719	yes	Artur-J-G3122:23; Artur-J-G3123:9	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u104:23; Artur-J-Gvecg-P500060.u105:9		Artur-J-Gvecg-P500060	no	1-23:Artur-J-G3122(Artur-J-Gvecg-P500060.u104); 24-32:Artur-J-G3123(Artur-J-Gvecg-P500060.u105)	Artur-J-Gvecg-P500060.u104:Artur-J-G3122:1237.343-1249.574; Artur-J-Gvecg-P500060.u105:Artur-J-G3123:1249.574-1251.505:trans=smooth	omit sentence-level speaker_id; use suggested_speaker_segments	misləm , so projekti , kə so supər za koprodukcije , kər se pəč lahko ujaməš s tem , da , da pokrivaš Vəs čəs delaš skupi , ne , vərjetno .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500060	Artur-J-Gvecg-P500060.resegsent6566	219134	219155	20	2	0.850	yes	Artur-J-G3122:17; Artur-J-G3123:3	Artur-J-G3122(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3123(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P500060.u109:17; Artur-J-Gvecg-P500060.u110:3		Artur-J-Gvecg-P500060	no	1-17:Artur-J-G3122(Artur-J-Gvecg-P500060.u109); 18-20:Artur-J-G3123(Artur-J-Gvecg-P500060.u110)	Artur-J-Gvecg-P500060.u109:Artur-J-G3122:1276.610-1297.719; Artur-J-Gvecg-P500060.u110:Artur-J-G3123:1297.719-1298.236	omit sentence-level speaker_id; use suggested_speaker_segments	tko da vseen so te , te neke , neke povezave so že v bistvu placiranje filma Tuji trg .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500062	Artur-J-Gvecg-P500062.resegsent7028	230830	230839	8	2	0.750	yes	Artur-J-G3131:6; Artur-J-G3128:2	Artur-J-G3131(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3128(SEX=ženski, AGE=30 do 59 let, EDUCATION=višja ali visoka šola, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P500062.u42:6; Artur-J-Gvecg-P500062.u43:2		Artur-J-Gvecg-P500062	no	1-6:Artur-J-G3131(Artur-J-Gvecg-P500062.u42); 7-8:Artur-J-G3128(Artur-J-Gvecg-P500062.u43)	Artur-J-Gvecg-P500062.u42:Artur-J-G3131:2807.292-2808.468; Artur-J-Gvecg-P500062.u43:Artur-J-G3128:2808.468-2808.966	omit sentence-level speaker_id; use suggested_speaker_segments	v moje veliko veselje je , Tkole .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500064	Artur-J-Gvecg-P500064.resegsent7267	241758	241797	38	2	0.763	yes	Artur-J-G3139:29; Artur-J-G3136:9	Artur-J-G3139(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska); Artur-J-G3136(SEX=moški, AGE=30 do 59 let, EDUCATION=višja ali visoka šola, PERM-RESD=-)	Artur-J-Gvecg-P500064.u37:21; Artur-J-Gvecg-P500064.u38:9; Artur-J-Gvecg-P500064.u36:8		Artur-J-Gvecg-P500064	no	1-8:Artur-J-G3139(Artur-J-Gvecg-P500064.u36); 9-29:Artur-J-G3139(Artur-J-Gvecg-P500064.u37); 30-38:Artur-J-G3136(Artur-J-Gvecg-P500064.u38)	Artur-J-Gvecg-P500064.u36:Artur-J-G3139:1458.317-1461.053; Artur-J-Gvecg-P500064.u37:Artur-J-G3139:1461.053-1467.293:trans=smooth; Artur-J-Gvecg-P500064.u38:Artur-J-G3136:1461.053-1467.293:trans=overlap	omit sentence-level speaker_id; use suggested_speaker_segments	To , torej o , e , pobuda pri… , pričakujete torej kakšno pobudo in se lahko potem zgodijo premiki tudi na tem področju , kjer bi si bolniki Ta… , bi se vključilo , tako ja .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P500064	Artur-J-Gvecg-P500064.resegsent7335	244108	244184	75	2	0.973	yes	Artur-J-G3138:73; Artur-J-G3139:2	Artur-J-G3138(SEX=moški, AGE=30 do 59 let, EDUCATION=višja ali visoka šola, PERM-RESD=osrednjeslovenska); Artur-J-G3139(SEX=ženski, AGE=30 do 59 let, EDUCATION=fakulteta ali več, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P500064.u60:70; Artur-J-Gvecg-P500064.u58:3; Artur-J-Gvecg-P500064.u59:2		Artur-J-Gvecg-P500064	no	1-3:Artur-J-G3138(Artur-J-Gvecg-P500064.u58); 4-5:Artur-J-G3139(Artur-J-Gvecg-P500064.u59); 6-75:Artur-J-G3138(Artur-J-Gvecg-P500064.u60)	Artur-J-Gvecg-P500064.u58:Artur-J-G3138:2223.856-2225.718:trans=smooth; Artur-J-Gvecg-P500064.u59:Artur-J-G3139:2223.856-2225.718:trans=overlap; Artur-J-Gvecg-P500064.u60:Artur-J-G3138:2225.718-2247.160	omit sentence-level speaker_id; use suggested_speaker_segments	e , da Jih izobrazit da , da ne bojo več tko ravnal provzaprov ljudje , ki so žrtve tega ravnanja , səvəda je treba tud njim pomagat , ampak oni niso tisti , kə bi mogli bit v fokusu v smislu , da bi , da bi mogli zdej oni se začet drugač obnašat al pa bit opolnomočeni , provzaprov je treba celo družbo opolnomočit , da zna prepoznavat te vzorce vedenja izključevalne .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P580002	Artur-J-Gvecg-P580002.resegsent7827	261134	261171	36	2	0.972	yes	Artur-J-G4528:35; Artur-J-G4529:1	Artur-J-G4529(SEX=ženski, AGE=30 do 59 let, EDUCATION=višja ali visoka šola, PERM-RESD=-); Artur-J-G4528(SEX=ženski, AGE=nad 60 let, EDUCATION=fakulteta ali več, PERM-RESD=-)	Artur-J-Gvecg-P580002.u32:35; Artur-J-Gvecg-P580002.u31:1		Artur-J-Gvecg-P580002	no	1:Artur-J-G4529(Artur-J-Gvecg-P580002.u31); 2-36:Artur-J-G4528(Artur-J-Gvecg-P580002.u32)	Artur-J-Gvecg-P580002.u31:Artur-J-G4529:961.191-973.820; Artur-J-Gvecg-P580002.u32:Artur-J-G4528:973.820-990.496	omit sentence-level speaker_id; use suggested_speaker_segments	""" Tako je , kər bom rekla , delodajalci v tem predkoronskem obdoboju , ko je bilo dejanska , eem , bom rekla , kər globoka kriza , glede , eee , pridobivanja potrebnega kadra ."
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P580003	Artur-J-Gvecg-P580003.resegsent7893	262598	262615	16	2	0.688	yes	Artur-J-G4531:11; Artur-J-G4530:5	Artur-J-G4531(SEX=ženski, AGE=nad 60 let, EDUCATION=višja ali visoka šola, PERM-RESD=savinjska); Artur-J-G4530(SEX=moški, AGE=30 do 59 let, EDUCATION=-, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P580003.u3:8; Artur-J-Gvecg-P580003.u2:5; Artur-J-Gvecg-P580003.u1:3		Artur-J-Gvecg-P580003	no	1-3:Artur-J-G4531(Artur-J-Gvecg-P580003.u1); 4-8:Artur-J-G4530(Artur-J-Gvecg-P580003.u2); 9-16:Artur-J-G4531(Artur-J-Gvecg-P580003.u3)	Artur-J-Gvecg-P580003.u1:Artur-J-G4531:0.000-28.551; Artur-J-Gvecg-P580003.u2:Artur-J-G4530:28.551-31.474; Artur-J-Gvecg-P580003.u3:Artur-J-G4531:31.474-40.464	omit sentence-level speaker_id; use suggested_speaker_segments	klinči , živjo Lep pozdrav na Štajerski val Del tvojega glasbenega značaja je čista zafrkancija .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P580003	Artur-J-Gvecg-P580003.resegsent7908	263167	263195	27	2	0.889	yes	Artur-J-G4530:24; Artur-J-G4531:3	Artur-J-G4530(SEX=moški, AGE=30 do 59 let, EDUCATION=-, PERM-RESD=osrednjeslovenska); Artur-J-G4531(SEX=ženski, AGE=nad 60 let, EDUCATION=višja ali visoka šola, PERM-RESD=savinjska)	Artur-J-Gvecg-P580003.u12:18; Artur-J-Gvecg-P580003.u14:4; Artur-J-Gvecg-P580003.u15:3; Artur-J-Gvecg-P580003.u13:2		Artur-J-Gvecg-P580003	no	1-18:Artur-J-G4530(Artur-J-Gvecg-P580003.u12); 19-20:Artur-J-G4530(Artur-J-Gvecg-P580003.u13); 21-24:Artur-J-G4530(Artur-J-Gvecg-P580003.u14); 25-27:Artur-J-G4531(Artur-J-Gvecg-P580003.u15)	Artur-J-Gvecg-P580003.u12:Artur-J-G4530:199.799-204.897; Artur-J-Gvecg-P580003.u13:Artur-J-G4530:204.897-206.131; Artur-J-Gvecg-P580003.u14:Artur-J-G4530:206.131-207.162:trans=smooth; Artur-J-Gvecg-P580003.u15:Artur-J-G4531:206.131-207.162:trans=overlap	omit sentence-level speaker_id; use suggested_speaker_segments	torəj Tilən Artač , ko smo ga prvič vidəl na oddaji , kjer je imitirov , e , določene like in jih izvajal , Tudi tebe .
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P580003	Artur-J-Gvecg-P580003.resegsent8022	266867	266955	87	2	0.989	yes	Artur-J-G4530:86; Artur-J-G4531:1	Artur-J-G4531(SEX=ženski, AGE=nad 60 let, EDUCATION=višja ali visoka šola, PERM-RESD=savinjska); Artur-J-G4530(SEX=moški, AGE=30 do 59 let, EDUCATION=-, PERM-RESD=osrednjeslovenska)	Artur-J-Gvecg-P580003.u74:86; Artur-J-Gvecg-P580003.u73:1		Artur-J-Gvecg-P580003	no	1:Artur-J-G4531(Artur-J-Gvecg-P580003.u73); 2-87:Artur-J-G4530(Artur-J-Gvecg-P580003.u74)	Artur-J-Gvecg-P580003.u73:Artur-J-G4531:1212.563-1221.218; Artur-J-Gvecg-P580003.u74:Artur-J-G4530:1221.218-1244.217	omit sentence-level speaker_id; use suggested_speaker_segments	""" Ja , no , če kdo loh to reče , je to on , ne , ki je pər svojih , misəm da že čez osəmsət , se izredno dobər drži in je na nek način tud en tak ptič kət jəs , bi reku , eee , cel življenje se j trudu v teh stvareh , da je in al zabavo argo… organizirov zadeve , in še zdəj provzoprov ne popušča , in če od tazga človeka dobiš tako stvar , je kər čast ."
Artur-J	multiple_known_speakers	Artur-J-Gvecg-P580004	Artur-J-Gvecg-P580004.resegsent8294	272494	272514	19	2	0.947	yes	Artur-J-G4532:18; Artur-J-G4531:1	Artur-J-G4531(SEX=ženski, AGE=nad 60 let, EDUCATION=višja ali visoka šola, PERM-RESD=savinjska); Artur-J-G4532(SEX=moški, AGE=18 do 34 let, EDUCATION=višja ali visoka šola, PERM-RESD=savinjska)	Artur-J-Gvecg-P580004.u127:18; Artur-J-Gvecg-P580004.u126:1		Artur-J-Gvecg-P580004	no	1:Artur-J-G4531(Artur-J-Gvecg-P580004.u126); 2-19:Artur-J-G4532(Artur-J-Gvecg-P580004.u127)	Artur-J-Gvecg-P580004.u126:Artur-J-G4531:1068.546-1074.345; Artur-J-Gvecg-P580004.u127:Artur-J-G4532:1074.345-1078.095	omit sentence-level speaker_id; use suggested_speaker_segments	""" Tam pa me , ja , vpraša za mnenje , eem , tako kot tudi jaz njo ."
